No,Kode,Nama,Saham Beredar,Market Cap
94,BKSW,Bank QNB Indonesia Tbk.,8669574538,2774260000000
95,BLTA,Berlian Laju Tanker Tbk,23483317538,4602730000000
96,BLTZ,Graha Layar Prima Tbk.,436968571,3757930000000
97,BMAS,Bank Maspion Indonesia Tbk.,4399026922,1847590000000
98,BMRI,Bank Mandiri (Persero) Tbk.,23099999999,267382000000000
99,BMSR,Bintang Mitra Semestaraya Tbk,1159200024,168084000000
100,BMTR,Global Mediacom Tbk.,14198621422,8732150000000
101,BNBA,Bank Bumi Arta Tbk.,2286900000,457380000000
102,BNBR,Bakrie & Brothers Tbk,97021717528,4851090000000
103,BNGA,Bank CIMB Niaga Tbk.,24880290775,21023800000000
104,BNII,Bank Maybank Indonesia Tbk.,67068027368,22803100000000
105,BNLI,Bank Permata Tbk.,22116530753,12274700000000
106,BOGA,Bintang Oto Global Tbk.,3800000000,1482000000000
107,BOLT,Garuda Metalindo Tbk.,2343750000,1886720000000
108,BORN,Borneo Lumbung Energi & Metal Tbk.,17693000000,884650000000
109,BPFI,Batavia Prosperindo Finance Tbk.,1360627100,680314000000
110,BPII,Batavia Prosperindo Internasional Tbk.,514010900,1799040000000
111,BRAM,Indo Kordsa Tbk.,450000000,3003750000000
112,BRAU,Berau Coal Energy Tbk.,34900000000,2861800000000
113,BRMS,Bumi Resources Minerals Tbk.,25570150644,1713200000000
114,BRNA,Berlina Tbk.,979110000,1077020000000
115,BRPT,Barito Pacific Tbk.,6979892784,10225500000000
116,BSDE,Bumi Serpong Damai Tbk.,19246696192,33778000000000
117,BSIM,Bank Sinarmas Tbk.,15053073256,13096200000000
118,BSSR,Baramulti Suksessarana Tbk.,2616500000,3689270000000
119,BSWD,Bank Of India Indonesia Tbk.,1031184000,2113930000000
120,BTEK,Bumi Teknokultura Unggul Tbk,5784687047,7115170000000
121,BTEL,Bakrie Telecom Tbk.,30584590655,1529230000000
122,BTON,Betonjaya Manunggal Tbk.,720000000,90720000000
123,BTPN,Bank Tabungan Pensiunan Nasional Tbk.,5781884384,15264200000000
124,BUDI,Budi Starch & Sweetener Tbk.,4498997362,391413000000
125,BUKK,Bukaka Teknik Utama Tbk.,2640452000,1980340000000
126,BULL,Buana Listya Tama Tbk.,2426895677,300935000000
127,BUMI,Bumi Resources Tbk.,36627020427,10182300000000
128,BUVA,Bukit Uluwatu Villa Tbk.,3405634600,1941210000000
129,BVIC,Bank Victoria International Tbk.,7811747289,835857000000
130,BWPT,Eagle High Plantations Tbk.,31525291000,8637930000000
131,BYAN,Bayan Resources Tbk.,3333333500,20000000000000
132,CANI,Capitol Nusantara Indonesia Tbk.,833440000,1450190000000
133,CASA,Capital Financial Indonesia Tbk.,11550000000,5266800000000
134,CASS,Cardig Aero Services Tbk.,2086950000,1972170000000
135,CEKA,Wilmar Cahaya Indonesia Tbk.,595000000,803250000000
136,CENT,Centratama Telekomunikasi Indonesia,10394488300,1236940000000
137,CFIN,Clipan Finance Indonesia Tbk.,3984520457,956285000000
138,CINT,Chitose Internasional Tbk.,1000000000,316000000000
139,CITA,Cita Mineral Investindo Tbk.,3370734900,3033660000000
140,CKRA,Cakra Mineral Tbk.,5106021090,347209000000
141,CLPI,Colorpak Indonesia Tbk.,306338500,291022000000
142,CMNP,Citra Marga Nusaphala Persada Tbk.,2750000000,4922500000000
143,CMPP,Rimau Multi Putra Pratama Tbk.,216000000,24624000000
144,CNKO,Exploitasi Energi Indonesia Tbk.,8956361206,456774000000
145,CNTB,Saham Seri B ( Centex Tbk ),130000000,32500000000
146,CNTX,Century Textile Industry Tbk.,70000000,52500000000
147,COWL,Cowell Development Tbk.,4871214021,5285270000000
148,CPGT,Citra Maharlika Nusantara Corpora Tbk.,3972222100,198611000000
149,CPIN,Charoen Pokphand Indonesia Tbk,16398000000,50669800000000
150,CPRO,Central Proteina Prima Tbk.,40470734746,2023540000000
151,CSAP,Catur Sentosa Adiprana Tbk.,4053052920,2127850000000
152,CTBN,Citra Tubindo Tbk.,800371500,4161930000000
153,CTRA,Ciputra Development Tbk.,15425291220,20592800000000
154,CTRP,Ciputra Property Tbk.,6315623997,4420940000000
155,CTRS,Ciputra Surya Tbk.,2033199754,5570970000000
156,CTTH,Citatah Tbk.,1230839821,98467185680
157,DAJK,Dwi Aneka Jaya Kemasindo Tbk.,2500000000,125000000000
158,DART,Duta Anggada Realty Tbk.,3141390962,1130900000000
159,DAYA,Duta Intidaya Tbk.,2078439000,405296000000
160,DEFI,Danasupra Erapacific Tbk,676000000,527280000000
161,DEWA,Darma Henwa Tbk,21853733792,1092690000000
162,DGIK,Nusa Konstruksi Enjiniring Tbk.,5541165000,304764000000
163,DILD,Intiland Development Tbk.,10365854185,5182930000000
164,DKFT,Central Omega Resources Tbk.,5638246600,1883170000000
165,DLTA,Delta Djakarta Tbk.,800659050,4003300000000
166,DMAS,Puradelta Lestari Tbk.,48198111100,11085600000000
167,DNAR,Bank Dinar Indonesia Tbk.,2227500000,534600000000
168,DNET,Indoritel Makmur Internasional Tbk.,14184000000,15602400000000
169,DOID,Delta Dunia Makmur Tbk.,8325016732,4245760000000
170,DPNS,Duta Pertiwi Nusantara Tbk.,331129952,132452000000
171,DPUM,Dua Putra Utama Makmur Tbk.,4175000000,2734630000000
172,DSFI,Dharma Samudera Fishing Industries,1857135500,293427000000
173,DSNG,Dharma Satya Nusantara Tbk.,10599842400,5829910000000
174,DSSA,Dian Swastatika Sentosa Tbk,770552320,4276570000000
175,DUTI,Duta Pertiwi Tbk,1850000000,11100000000000
176,DVLA,Darya-Varia Laboratoria Tbk.,1120000000,1965600000000
177,DYAN,Dyandra Media International Tbk.,4272964279,247832000000
178,ECII,Electronic City Indonesia Tbk.,1334333000,800600000000
179,EKAD,Ekadharma International Tbk.,698775000,412277000000
180,ELSA,Elnusa Tbk.,7298500000,3065370000000
181,ELTY,Bakrieland Development Tbk.,43521913019,2176100000000
182,EMDE,Megapolitan Developments Tbk.,3350000000,469000000000
183,EMTK,Elang Mahkota Teknologi Tbk.,5640032442,56259300000000
184,ENRG,Energi Mega Persada Tbk.,49106783762,2455340000000
185,EPMT,Enseval Putera Megatrading Tbk.,2708640000,7909230000000
186,ERAA,Erajaya Swasembada Tbk.,2900000000,1740000000000
187,ERTX,Eratex Djaja Tbk.,1286539792,212279000000
188,ESSA,Surya Esa Perkasa Tbk.,1100000000,1782000000000
189,ESTI,Ever Shine Tex Tbk.,2015208720,191445000000
190,ETWA,Eterindo Wahanatama Tbk,968297000,79400354000
191,EXCL,XL Axiata Tbk.,10687960423,24689200000000
192,FAST,Fast Food Indonesia Tbk.,1995138579,2992710000000
193,FASW,Fajar Surya Wisesa Tbk.,2477888787,10159300000000
194,FISH,FKS Multi Agro Tbk.,480000000,1920000000000
195,FMII,Fortune Mate Indonesia Tbk,2721000000,1360500000000
196,FORU,Fortune Indonesia Tbk,465224000,147941000000
197,FPNI,Lotte Chemical Titan Tbk.,5566414000,718067000000
198,FREN,Smartfren Telecom Tbk.,103706000000,5496410000000
199,GAMA,Gading Development Tbk.,10011027656,500551000000
200,GDST,Gunawan Dianjaya Steel Tbk.,8200000000,926600000000
201,GDYR,Goodyear Indonesia Tbk.,410000000,787200000000
202,GEMA,Gema Grahasarana Tbk.,320000000,133760000000
203,GEMS,Golden Energy Mines Tbk.,5882353000,15882400000000
204,GGRM,Gudang Garam Tbk.,1924088000,122949000000000
205,GIAA,Garuda Indonesia (Persero) Tbk.,25886576254,8749660000000
206,GJTL,Gajah Tunggal Tbk.,3484800000,3728740000000
207,GLOB,Global Teleshop Tbk.,1111112000,506667000000
208,GMCW,Grahamas Citrawisata Tbk.,58839958,50602363880
209,GMTD,Gowa Makassar Tourism Development Tbk.,101538000,705689000000
210,GOLD,Visi Telekomunikasi Infrastruktur Tbk.,314600000,157300000000
211,GOLL,Golden Plantation Tbk.,3665000007,439800000000
212,GPRA,Perdana Gapuraprima Tbk.,4276655336,782628000000
213,GREN,Evergreen Invesco Tbk.,4694111791,1023320000000
214,GSMF,Equity Development Investment Tbk.,7454723337,700744000000
215,GTBO,Garda Tujuh Buana Tbk,2500000000,650000000000
216,GWSA,Greenwood Sejahtera Tbk.,7800760000,1006300000000
217,GZCO,Gozco Plantations Tbk.,6000000000,450000000000
218,HADE,HD Capital Tbk,2120000000,106000000000
219,HDFA,Radana Bhaskara Finance Tbk.,2329668917,587077000000
220,HDTX,Panasia Indo Resources Tbk.,3601462800,2088850000000
221,HERO,Hero Supermarket Tbk.,4183634000,5271380000000
222,HEXA,Hexindo Adiperkasa Tbk.,840000000,2562000000000
223,HITS,Humpuss Intermoda Transportasi Tbk.,7101084801,5467840000000
224,HMSP,H.M. Sampoerna Tbk.,116318000000,445498000000000
225,HOME,Hotel Mandarine Regency Tbk.,2266550488,543972000000
226,HOTL,Saraswati Griya Lestari Tbk.,3550000250,450850000000
227,HRUM,Harum Energy Tbk.,2703620000,5785750000000
228,IATA,Indonesia Transport & Infrastructure,9326826088,466341000000
229,IBFN,Intan Baruprana Finance Tbk.,3173720000,555401000000
230,IBST,Inti Bangun Sejahtera Tbk.,1350904927,2499170000000
231,ICBP,Indofood CBP Sukses Makmur Tbk.,11661908000,100001000000000
232,ICON,Island Concepts Indonesia Tbk.,1089750000,544875000000
233,IDPR,Indonesia Pondasi Raya Tbk.,2003000000,2243360000000
234,IGAR,Champion Pacific Indonesia Tbk.,972204500,505546000000
235,IIKP,Inti Agri Resources Tbk,3360000000,8433600000000
236,IKAI,Intikeramik Alamasri Industri Tbk.,791383786,56188248806
237,IKBI,Sumi Indo Kabel Tbk.,1224000000,411264000000
238,IMAS,Indomobil Sukses Internasional Tbk.,2765278412,3622510000000
239,IMJS,Indomobil Multi Jasa Tbk.,4325000000,1366700000000
240,IMPC,Impack Pratama Industri Tbk.,4833500000,4954340000000
241,INAF,Indofarma Tbk.,3099267500,14504600000000
242,INAI,Indal Aluminium Industry Tbk.,316800000,204336000000
243,INCF,Indo Komoditi Korpora Tbk.,1438370465,701925000000
244,INCI,Intanwijaya Internasional Tbk,181035556,55396880136
245,INCO,Vale Indonesia Tbk.,9936338720,28020500000000
246,INDF,Indofood Sukses Makmur Tbk.,8780426500,69584900000000
247,INDR,Indo-Rama Synthetics Tbk.,654351707,530025000000
248,INDS,Indospring Tbk.,656249710,531562000000
249,INDX,Tanah Laut Tbk,437913588,38536395744
250,INDY,Indika Energy Tbk.,5210192000,3673190000000
251,INKP,Indah Kiat Pulp & Paper Tbk.,5470982941,5224790000000
252,INPC,Bank Artha Graha Internasional Tbk.,15638231119,1141590000000
253,INPP,Indonesian Paradise Property Tbk.,11181971732,6317810000000
254,INRU,Toba Pulp Lestari Tbk.,1388883283,416665000000
255,INTA,Intraco Penta Tbk.,2160029220,756010000000
256,INTD,Inter Delta Tbk,118365600,76937640000
257,INTP,Indocement Tunggal Prakarsa Tbk.,3681231699,56691000000000
258,INVS,Inovisi Infracom Tbk.,9990273135,1168860000000
259,IPOL,Indopoly Swakarsa Industry Tbk.,6443379509,876300000000
260,ISAT,Indosat Tbk.,5433933500,35048900000000
261,ISSP,Steel Pipe Industry of Indonesia Tbk.,7185992035,1509060000000
262,ITMA,Sumber Energi Andalan Tbk.,680000000,1145800000000
263,ITMG,Indo Tambangraya Megah Tbk.,1129925000,19067500000000
264,ITTG,Leo Investments Tbk.,1379000000,113078000000
265,JAWA,Jaya Agra Wattie Tbk.,3774685500,479385000000
266,JECC,Jembo Cable Company Tbk.,151200000,529200000000
267,JGLE,Graha Andrasentra Propertindo Tbk.,22581909405,8942440000000
268,JIHD,Jakarta International Hotels &,2329040482,1145890000000
269,JKON,Jaya Konstruksi Manggala Pratama Tbk.,16308519860,10111300000000
270,JKSW,Jakarta Kyoei Steel Works Tbk.,150000000,11250000000
271,JPFA,Japfa Comfeed Indonesia Tbk.,11410522910,16602300000000
272,JPRS,Jaya Pari Steel Tbk,750000000,101250000000
273,JRPT,Jaya Real Property Tbk.,13750000000,12031300000000
274,JSMR,Jasa Marga (Persero) Tbk.,7257871200,31354000000000
275,JSPT,Jakarta Setiabudi Internasional Tbk.,2318736000,5935960000000
276,JTPE,Jasuindo Tiga Perkasa Tbk.,1713012500,527608000000
277,KAEF,Kimia Farma Tbk.,5554000000,15273500000000
278,KARW,ICTSI Jasa Prima Tbk.,587152700,144440000000
279,KBLI,KMI Wire & Cable Tbk.,4007235107,1106000000000
280,KBLM,Kabelindo Murni Tbk.,1120000000,268800000000
281,KBLV,First Media Tbk.,1742167907,2116730000000
282,KBRI,Kertas Basuki Rachmat Indonesia Tbk.,8687995734,434400000000
283,KDSI,Kedawung Setia Industrial Tbk.,405000000,141750000000
284,KIAS,Keramika Indonesia Assosiasi Tbk.,14929100000,1194330000000
285,KICI,Kedaung Indah Can Tbk,276000000,33120000000
286,KIJA,Kawasan Industri Jababeka Tbk.,20662178685,6033360000000
287,KINO,Kino Indonesia Tbk.,1428571500,4328570000000
288,KKGI,Resource Alam Indonesia Tbk.,1000000000,1500000000000
289,KLBF,Kalbe Farma Tbk.,46875122110,71015800000000
290,KOBX,Kobexindo Tractors Tbk.,2272500000,222705000000
291,KOIN,Kokoh Inti Arebama Tbk,980843732,294253000000
292,KONI,Perdana Bangun Pusaka Tbk,152000000,69920000000
293,KOPI,Mitra Energi Persada Tbk.,697266668,491573000000
294,KPIG,MNC Land Tbk.,6891067237,10336600000000
295,KRAH,Grand Kartech Tbk.,971190000,2292010000000
296,KRAS,Krakatau Steel (Persero) Tbk.,19346396900,14896700000000
297,KREN,Kresna Graha Investama Tbk.,18208470100,8521560000000
298,LAMI,Lamicitra Nusantara Tbk.,1148418000,422618000000
299,LAPD,Leyand International Tbk.,3966350139,198318000000
300,LCGP,Eureka Prima Jakarta Tbk.,5630000914,760050000000
301,LEAD,Logindo Samudramakmur Tbk.,2577028572,275742000000
302,LINK,Link Net Tbk.,3042649384,15669600000000
303,LION,Lion Metal Works Tbk.,520160000,546168000000
304,LMAS,Limas Indonesia Makmur Tbk,787851525,39392576250
305,LMPI,Langgeng Makmur Industri Tbk.,1008517669,136150000000
306,LMSH,Lionmesh Prima Tbk.,96000000,56640000000
307,LPCK,Lippo Cikarang Tbk,696000000,3514800000000
308,LPGI,Lippo General Insurance Tbk.,150000000,810000000000
309,LPIN,Multi Prima Sejahtera Tbk,21250000,114750000000
310,LPKR,Lippo Karawaci Tbk.,23077689619,16615900000000
311,LPLI,Star Pacific Tbk,1170432803,271540000000
312,LPPF,Matahari Department Store Tbk.,2917918080,44133500000000
313,LPPS,Lippo Securities Tbk.,2588250000,276943000000
314,LRNA,Eka Sari Lorena Transport Tbk.,350000022,77000004840
315,LSIP,PP London Sumatra Indonesia Tbk.,6822863965,11871800000000
316,LTLS,Lautan Luas Tbk.,1560000000,546000000000
317,MAGP,Multi Agro Gemilang Plantation Tbk.,9000000004,450000000000
318,MAIN,Malindo Feedmill Tbk.,2238750000,2910380000000
319,MAMI,Mas Murni Indonesia Tbk,3307239903,165362000000
320,MAMIP,Mas Murni Tbk (Saham Preferen),6000000,3600000000
321,MAPI,Mitra Adiperkasa Tbk.,1660000000,8964000000000
322,MARI,Mahaka Radio Integra Tbk.,525264400,538396000000
323,MASA,Multistrada Arah Sarana Tbk.,9182946945,2479400000000
324,MAYA,Bank Mayapada Internasional Tbk.,4870142382,15340900000000
325,MBAP,Mitrabara Adiperdana Tbk.,1227271952,2565000000000
326,MBSS,Mitrabahtera Segara Sejati Tbk.,1750026639,556508000000
327,MBTO,Martina Berto Tbk.,1070000000,197950000000
328,MCOR,Bank Windu Kentjana International Tbk.,16465148150,2436840000000
329,MDIA,Intermedia Capital Tbk.,3921553840,7039190000000
330,MDKA,Merdeka Copper Gold Tbk.,3569587140,7139170000000
331,MDLN,Modernland Realty Tbk.,12533067322,4286310000000
332,MDRN,Modern Internasional Tbk.,4574697999,503217000000
333,MEDC,Medco Energi Internasional Tbk.,3332451450,4398840000000
334,MEGA,Bank Mega Tbk.,6894138227,17580100000000
335,MERK,Merck Tbk.,448000000,4121600000000
336,META,Nusantara Infrastructure Tbk.,15235671880,1995870000000
337,MFIN,Mandala Multifinance Tbk.,1325000000,1007000000000
338,MFMI,Multifiling Mitra Indonesia Tbk.,757581000,598489000000
339,MGNA,Magna Finance Tbk.,1000000000,65000000000
340,MICE,Multi Indocitra Tbk.,600000000,270000000000
341,MIDI,Midi Utama Indonesia Tbk.,2882353000,2334710000000
342,MIKA,Mitra Keluarga Karyasehat Tbk.,14550736000,37395400000000
343,MIRA,Mitra International Resources Tbk.,3961452039,198073000000
344,MITI,Mitra Investindo Tbk.,1283228000,78276908000
345,MKNT,Mitra Komunikasi Nusantara Tbk.,1000000000,540000000000
346,MKPI,Metropolitan Kentjana Tbk.,948194000,24416000000000
347,MLBI,Multi Bintang Indonesia Tbk.,2107000000,24757300000000
348,MLIA,Mulia Industrindo Tbk,1323000000,727650000000
349,MLPL,Multipolar Tbk.,10064747323,3442140000000
350,MLPT,Multipolar Technology Tbk.,1875000000,3300000000000
351,MMLP,Mega Manunggal Property Tbk.,5714285000,3914290000000
352,MNCN,Media Nusantara Citra Tbk.,14276103500,25054600000000
353,MPMX,Mitra Pinasthika Mustika Tbk.,4462963276,3659630000000
354,MPPA,Matahari Putra Prima Tbk.,5377962800,7959380000000
355,MRAT,Mustika Ratu Tbk.,428000000,89880000000
356,MREI,Maskapai Reasuransi Indonesia Tbk.,388343761,1650460000000
357,MSKY,MNC Sky Vision Tbk.,1554053720,1623990000000
358,MTDL,Metrodata Electronics Tbk.,2376172964,1544510000000
359,MTFN,Capitalinc Investment Tbk.,31842082852,1592100000000
360,MTLA,Metropolitan Land Tbk.,7655126330,2709910000000
361,MTRA,Mitra Pemuda Tbk.,770000000,229460000000
362,MTSM,Metro Realty Tbk.,232848000,85222368000
363,MYOH,Samindo Resources Tbk.,2206312500,1389980000000
364,MYOR,Mayora Indah Tbk.,22358699725,36780100000000
365,MYRX,Hanson International Tbk.,78719201175,13303500000000
366,MYRXP,Saham Seri B Hanson International Tbk.,1120995000,58291740000
367,MYTX,Asia Pacific Investama Tbk.,1466666577,89466661197
368,NAGA,Bank Mitraniaga Tbk.,1612710000,322542000000
369,NELY,Pelayaran Nelly Dwi Putri Tbk.,2350000000,178600000000
370,NIKL,Pelat Timah Nusantara Tbk.,2523350000,5677540000000
371,NIPS,Nipress Tbk.,1635333332,578908000000
372,NIRO,Nirvana Development Tbk.,22198871804,2086690000000
373,NISP,Bank OCBC NISP Tbk.,11357888016,23510800000000
374,NOBU,Bank Nationalnobu Tbk.,4393533177,3339090000000
375,NRCA,Nusa Raya Cipta Tbk.,2496258344,823765000000
376,OASA,Protech Mitra Perkasa Tbk.,358600000,108297000000
377,OCAP,Onix Capital Tbk.,273200000,117476000000
378,OKAS,Ancora Indonesia Resources Tbk.,1765927777,88296388850
379,OMRE,Indonesia Prima Property Tbk,1745000000,376920000000
380,PADI,Minna Padi Investama Tbk.,11307246524,5382250000000
381,PALM,Provident Agro Tbk.,7119540356,3246510000000
382,PANR,Panorama Sentrawisata Tbk.,1200000000,750000000000
383,PANS,Panin Sekuritas Tbk.,720000000,2822400000000
384,PBRX,Pan Brothers Tbk.,6478295611,2980020000000
385,PBSA,Paramita Bangun Sarana Tbk.,1500000000,1935000000000
386,PDES,Destinasi Tirta Nusantara Tbk,715000000,181610000000
387,PEGE,Panca Global Securities Tbk.,708354264,141671000000
388,PGAS,Perusahaan Gas Negara (Persero) Tbk.,24241508196,65452100000000
389,PGLI,Pembangunan Graha Lestari Indah Tbk.,488000000,27816000000
390,PICO,Pelangi Indah Canindo Tbk,568375000,126179000000
391,PJAA,Pembangunan Jaya Ancol Tbk.,1599999996,3232000000000
392,PKPK,Perdana Karya Perkasa Tbk,600000000,30000000000
393,PLAS,Polaris Investama Tbk,1184200000,480785000000
394,PLIN,Plaza Indonesia Realty Tbk.,3550000000,17217500000000
395,PNBN,Bank Pan Indonesia Tbk,23837645998,17878200000000
396,PNBS,Bank Panin Syariah Tbk.,9812500510,1177500000000
397,PNIN,Paninvest Tbk.,4068323920,2461340000000
398,PNLF,Panin Financial Tbk.,32022073293,5507800000000
399,PNSE,Pudjiadi & Sons Tbk.,797813496,718032000000
400,POLY,Asia Pacific Fibers Tbk,2495753334,137266000000
401,POOL,Pool Advista Indonesia Tbk.,1799952032,3923900000000
402,POWR,Cikarang Listrindo Tbk.,16087156000,20672000000000
403,PPRO,PP Properti Tbk.,14044406000,19100400000000
404,PRAS,Prima Alloy Steel Universal Tbk.,701043478,119177000000
405,PRDA,Prodia Widyahusada Tbk.,937500000,5437500000000
406,PSAB,J Resources Asia Pasifik Tbk.,26460000000,6456240000000
407,PSDN,Prasidha Aneka Niaga Tbk,1440000000,192960000000
408,PSKT,Red Planet Indonesia Tbk.,1355320656,996161000000
409,PTBA,Tambang Batubara Bukit Asam (Persero),2304131850,28801600000000
410,PTIS,Indo Straits Tbk.,550165300,440132000000
411,PTPP,PP (Persero) Tbk.,6199897354,23621600000000
412,PTRO,Petrosea Tbk.,1008605000,726196000000
413,PTSN,Sat Nusapersada Tbk,1771448000,106287000000
414,PTSP,Pioneerindo Gourmet International Tbk.,220808000,1611900000000
415,PUDP,Pudjiadi Prestige Tbk.,329560000,125233000000
416,PWON,Pakuwon Jati Tbk.,48159602400,27210200000000
417,PYFA,Pyridam Farma Tbk,535080000,107016000000
