Kode,Nama,Saham Beredar,Market Cap
KPIG,MNC Land Tbk.,4989600410,6536376537100
IBST,Inti Bangun Sejahtera Tbk.,1143073400,6515518380000
BRAU,Berau Coal Energy Tbk.,34900000000,6491400000000
SUPR,Solusi Tunas Pratama Tbk.,794289548,6473459816200
BBMD,Bank Mestika Dharma Tbk.,4049189100,6357226887000
BUMI,Bumi Resources Tbk,20773400000,6232020000000
TRIO,Trikomsel Oke Tbk.,4761500000,6142335000000
RODA,Pikko Land Development Tbk.,13592128209,6116457694050
DLTA,Delta Djakarta Tbk.,16013181,6085008780000
ARNA,Arwana Citramulia Tbk.,7341430976,6019973400320
GJTL,Gajah Tunggal Tbk.,3484800000,5854464000000
BWPT,BW Plantation Tbk.,4336211750,5767161627500
MPMX,Mitra Pinasthika Mustika Tbk.,4462963276,5712592993280
PTPP,PP (Persero) Tbk.,4842436500,5617226340000
BJTM,Bank Pembangunan Daerah Jawa Timur,14768508132,5538190549500
PNLF,Panin Financial Tbk.,28239720705,5506745537475
MAIN,Malindo Feedmill Tbk.,1695000000,5381625000000
SMMT,Golden Eagle Energy Tbk.,900000000,5310000000000
ROTI,Nippon Indosari Corpindo Tbk.,5061800000,5163036000000
BSSR,Baramulti Suksessarana Tbk.,2616500000,5102175000000
BRMS,Bumi Resources Minerals Tbk.,25570150644,5088459978156
FASW,Fajar Surya Wisesa Tbk.,2477888787,5017724793675
SMSM,Selamat Sempurna Tbk.,1439668860,4966857567000
ANJT,Austindo Nusantara Jaya Tbk.,3333350000,4966691500000
BKSL,Sentul City Tbk.,31396905010,4929314086570
BBKP,Bank Bukopin Tbk.,7900947683,4898587563460
MDLN,Modernland Realty Ltd. Tbk,12533067322,4887896255580
NIRO,Nirvana Development Tbk.,18026591500,4777046747500
BNBR,Bakrie & Brothers Tbk,93721717528,4686085876400
SRIL,Sri Rejeki Isman Tbk.,18592888040,4555257569800
VIVA,Visi Media Asia Tbk.,16464270400,4527674360000
BAEK,Bank Ekonomi Raharja Tbk.,2643300000,4493610000000
APLN,Agung Podomoro Land Tbk.,20500900000,4407693500000
DSNG,Dharma Satya Nusantara Tbk.,2119700000,4345385000000
BEST,Bekasi Fajar Industrial Estate Tbk.,9629044750,4284924913750
MERK,Merck Tbk.,22400000,4233600000000
AISA,Tiga Pilar Sejahtera Food Tbk.,2926000000,4184180000000
RMBA,Bentoel Internasional Investama Tbk.,7240005000,4126802850000
BIPI,Benakat Petroleum Energy Tbk.,36508170014,4052406871554
WSKT,Waskita Karya (Persero) Tbk.,9632236000,3901055580000
META,Nusantara Infrastructure Tbk.,15235671880,3885096329400
KIJA,Kawasan Industri Jababeka Tbk.,20121371043,3883424611299
GTBO,Garda Tujuh Buana Tbk,2500000000,3875000000000
BFIN,BFI Finance  Indonesia Tbk.,1526614562,3816536405000
TOTO,Surya Toto Indonesia Tbk.,495360000,3814272000000
CTRP,Ciputra Property Tbk.,6150000000,3813000000000
PADI,Minna Padi Investama Tbk.,2174470500,3805323375000
FAST,Fast Food Indonesia Tbk.,1995138579,3790763300100
SGRO,Sampoerna Agro Tbk.,1890000000,3780000000000
ECII,Electronic City Indonesia Tbk.,1334333000,3702774075000
MLPL,Multipolar Tbk.,10064747323,3623309036280
CTBN,Citra Tubindo Tbk.,800371500,3601671750000
MASA,Multistrada Arah Sarana Tbk.,9182946945,3581349308550
LPCK,Lippo Cikarang Tbk,696000000,3393000000000
TELE,Tiphone Mobile Indonesia Tbk.,5472508880,3392955505600
MYRX,Hanson International Tbk.,5847945180,3333328752600
KAEF,Kimia Farma Tbk.,5554000000,3276860000000
DILD,Intiland Development Tbk.,10365854185,3265244068275
SMBR,Semen Baturaja (Persero) Tbk.,9837678500,3246433905000
MDRN,Modern Internasional Tbk.,4158816363,3202288599510
TAXI,Express Transindo Utama Tbk.,2145600000,3132576000000
ENRG,Energi Mega Persada Tbk.,44642530693,3124977148510
BSIM,Bank Sinarmas Tbk.,12981631498,3115591559520
JIHD,Jakarta International Hotels &,2329040482,3097623841060
BORN,Borneo Lumbung Energi & Metal Tbk.,17693000000,3078582000000
INDY,Indika Energy Tbk.,5210192000,3074013280000
AMFG,Asahimas Flat Glass Tbk.,434000000,3038000000000
TMPI,AGIS Tbk,5502083747,3026146060850
TURI,Tunas Ridean Tbk.,5580000000,2957400000000
SAME,Sarana Meditama Metropolitan Tbk.,1180000000,2950000000000
ERAA,Erajaya Swasembada Tbk.,2900000000,2900000000000
MTLA,Metropolitan Land Tbk.,7579333000,2880146540000
PANS,Panin Sekuritas Tbk.,720000000,2880000000000
BRPT,Barito Pacific Tbk.,6979892784,2861756041440
MSKY,MNC Sky Vision Tbk.,1412776000,2825552000000
CNKO,Exploitasi Energi Indonesia Tbk.,8956361206,2821253779890
TGKA,Tigaraksa Satria Tbk.,918492750,2755478250000
BKSW,Bank QNB Kesawan Tbk.,6096747212,2743536245400
PNIN,Panin Insurance Tbk.,4068323920,2725777026400
ADHI,Adhi Karya (Persero) Tbk.,1801320000,2719993200000
HEXA,Hexindo Adiperkasa Tbk.,840000000,2709000000000
ABDA,Asuransi Bina Dana Arta Tbk.,620806680,2638428390000
SSIA,Surya Semesta Internusa Tbk.,4705249440,2634939686400
ESSA,Surya Esa Perkasa Tbk.,1100000000,2612500000000
CTRS,Ciputra Surya Tbk.,1978864834,2592312932540
IMJS,Indomobil Multi Jasa Tbk.,4325000000,2551750000000
ARII,Atlas Resources Tbk.,3000000000,2550000000000
PALM,Provident Agro Tbk.,7039980000,2534392800000
WINS,Wintermar Offshore Marine Tbk.,3671277152,2496468463360
DVLA,Darya-Varia Laboratoria Tbk.,1120000000,2464000000000
NOBU,Bank Nationalnobu Tbk.,4104371700,2421579303000
TFCO,Tifico Fiber Indonesia Tbk.,4823076400,2411538200000
ELSA,Elnusa Tbk.,7298500000,2408505000000
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,1335702240,2404264032000
TKGA,Permata Prima Sakti Tbk.,1012000000,2403500000000
TCID,Mandom Indonesia Tbk.,201066667,2392693337300
TBLA,Tunas Baru Lampung Tbk.,4942098939,2322786501330
KIAS,Keramika Indonesia Assosiasi Tbk.,14929100000,2314010500000
COWL,Cowell Development Tbk.,4871214021,2289470589870
BLTA,Berlian Laju Tanker Tbk,11550831470,2263962968120
ASGR,Astra Graphia Tbk.,1348780500,2252463435000
ELTY,Bakrieland Development Tbk.,43521913019,2176095650950
DKFT,Central Omega Resources Tbk.,5630528665,2139600892700
KKGI,Resource Alam Indonesia Tbk.,1000000000,2050000000000
SDRA,Bank Himpunan Saudara 1906 Tbk.,2293873000,2041546970000
STTP,Siantar Top Tbk.,1310000000,2030500000000
CPRO,Central Proteinaprima Tbk,40470734746,2023536737300
SRAJ,Sejahteraraya Anugrahjaya Tbk.,8030483593,2007620898250
BAJA,Saranacentral Bajatama Tbk.,1800000000,1998000000000
MLPT,Multipolar Technology Tbk.,1875000000,1893750000000
BUVA,Bukit Uluwatu Villa Tbk.,3096031500,1888579215000
LEAD,Logindo Samudramakmur Tbk.,644257143,1868345714700
BCAP,MNC Kapital Indonesia Tbk.,1364347500,1828225650000
PSAB,J Resources Asia Pasifik Tbk.,756000000,1814400000000
CENT,Centrin Online Tbk.,7424634500,1781912280000
MBSS,Mitrabahtera Segara Sejati Tbk.,1750026639,1767526905390
PJAA,Pembangunan Jaya Ancol Tbk.,1599999996,1743999995640
JSPT,Jakarta Setiabudi Internasional Tbk.,2318736000,1739052000000
SOBI,Sorini Agro Asia Corporindo Tbk.,925211250,1711640812500
CASS,Cardig Aero Services Tbk.,2086950000,1711299000000
TOTL,Total Bangun Persada Tbk.,3410000000,1705000000000
BISI,BISI International Tbk.,3000000000,1680000000000
BTEK,Bumi Teknokultura Unggul Tbk,1102977500,1676525800000
NRCA,Nusa Raya Cipta Tbk.,2480000000,1661600000000
LCGP,Eureka Prima Jakarta Tbk.,5630000000,1604550000000
HITS,Humpuss Intermoda Transportasi Tbk.,4769532710,1597793457850
SONA,Sona Topas Tourism Industry Tbk.,331200000,1589760000000
ATPK,ATPK Resources Tbk.,5760245414,1555266261780
BTEL,Bakrie Telecom Tbk.,30584590655,1529229532750
MIDI,Midi Utama Indonesia Tbk.,2882353000,1527647090000
INRU,Toba Pulp Lestari Tbk.,1375793450,1513372795000
CFIN,Clipan Finance Indonesia Tbk.,3774797417,1509918966800
APIC,Pacific Strategic Financial Tbk.,2940498750,1499654362500
TOBA,Toba Bara Sejahtra Tbk.,2012491000,1489243340000
JAWA,Jaya Agra Wattie Tbk.,3774685500,1434380490000
PLAS,Polaris Investama Tbk,1184200000,1432882000000
WIIM,Wismilak Inti Makmur Tbk.,2099873760,1406915419200
INDS,Indospring Tbk.,525000000,1404375000000
BCIC,Bank Mutiara Tbk,28066675536,1403333776800
DART,Duta Anggada Realty Tbk.,3141390962,1397918978090
GLOB,Global Teleshop Tbk.,1111112000,1388890000000
BATA,Sepatu Bata Tbk.,1300000000,1378000000000
RDTX,Roda Vivatex Tbk,268800000,1317120000000
CITA,Cita Mineral Investindo Tbk.,3370734900,1314586611000
PBRX,Pan Brothers Tbk.,3084902672,1295659122240
BBLD,Buana Finance Tbk.,1645796054,1283720922120
ALTO,Tri Banyan Tirta Tbk.,2184663247,1245258050790
GWSA,Greenwood Sejahtera Tbk.,7800760000,1240320840000
ADES,Akasha Wira International Tbk.,589896800,1179793600000
INPC,Bank Artha Graha Internasional Tbk.,12957391497,1179122626227
KREN,Kresna Graha Sekurindo Tbk.,3181966560,1177327627200
PTRO,Petrosea Tbk.,1008605000,1159895750000
CKRA,Cakra Mineral Tbk.,5106021090,1097794534350
DEWA,Darma Henwa Tbk,21853733792,1092686689600
BMAS,Bank Maspion Indonesia Tbk.,3812490000,1086559650000
MYOH,Samindo Resources Tbk.,2206312500,1081093125000
FMII,Fortune Mate Indonesia Tbk,2721000000,1047585000000
ISSP,Steel Pipe Industry of Indonesia Tbk.,7185992035,1034782853040
RANC,Supra Boga Lestari Tbk.,1564487500,1032561750000
CPGT,Cipaganti Citra Graha Tbk.,3611111000,1029166635000
BRAM,Indo Kordsa Tbk.,450000000,1012500000000
KBLV,First Media Tbk.,1742167907,1010457386060
MREI,Maskapai Reasuransi Indonesia Tbk.,388343761,1009693778600
DYAN,Dyandra Media International Tbk.,4272964279,1004146605565
ACST,Acset Indonusa Tbk.,500000000,995000000000
BBNP,Bank Nusantara Parahyangan Tbk.,670065543,991697003640
FREN,Smartfren Telecom Tbk.,17795870091,960976984914
ASSA,Adi Sarana Armada Tbk.,3397500000,951300000000
FISH,FKS Multi Agro Tbk.,480000000,936000000000
MFIN,Mandala Multifinance Tbk.,1325000000,914250000000
SCCO,Supreme Cable Manufacturing & Commerce,205583400,904566960000
MAGP,Multi Agro Gemilang Plantation Tbk.,9000000000,900000000000
BEKS,Bank Pundi Indonesia Tbk.,10647565981,894395542404
PTSP,Pioneerindo Gourmet International Tbk.,220808000,883232000000
BULL,Buana Listya Tama Tbk.,17650000000,882500000000
GAMA,Gading Development Tbk.,10011027500,880970420000
VICO,Victoria Investama Tbk.,7350000000,874650000000
AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,7378138767,870620374506
ADMG,Polychem Indonesia Tbk,3889179559,855619502980
GMTD,Gowa Makassar Tourism Development Tbk.,101538000,842765400000
HOME,Hotel Mandarine Regency Tbk.,2266550488,838623680560
DGIK,Nusa Konstruksi Enjiniring Tbk.,5541165000,831174750000
BVIC,Bank Victoria International Tbk.,6564912746,820614093250
TPMA,Trans Power Marine Tbk.,2633300000,816323000000
TRUB,Truba Alam Manunggal Engineering Tbk.,15799456267,789972813350
GDYR,Goodyear Indonesia Tbk.,41000000,779000000000
SMDM,Suryamas Dutamakmur Tbk,4006783831,761288927890
DOID,Delta Dunia Makmur Tbk.,8216846232,755949853344
MCOR,Bank Windu Kentjana International Tbk.,5851221186,743105090622
UNIC,Unggul Indah Cahaya Tbk.,383331363,732162903330
BABP,Bank ICB Bumiputera Tbk.,5431217756,722351961548
GDST,Gunawan Dianjaya Steel Tbk.,8200000000,705200000000
RAJA,Rukun Raharja Tbk.,1019270625,703296731250
TRST,Trias Sentosa Tbk.,2808000000,702000000000
IPOL,Indopoly Swakarsa Industry Tbk.,6443379509,689441607463
UNSP,Bakrie Sumatra Plantations Tbk.,13720471386,686023569300
MTFN,Capitalinc Investment Tbk.,4008094345,665343661270
GZCO,Gozco Plantations Tbk.,6000000000,660000000000
INDR,Indo-Rama Synthetics Tbk.,654351707,654351707000
BCIP,Bumi Citra Permai Tbk.,1429915525,650611563875
KOBX,Kobexindo Tractors Tbk.,2272500000,647662500000
GPRA,Perdana Gapuraprima Tbk.,4276655336,645774955736
MTDL,Metrodata Electronics Tbk.,2246000000,640110000000
HDTX,Panasia Indo Resources Tbk.,1532571000,636016965000
LION,Lion Metal Works Tbk.,52016000,624192000000
DAVO,Davomas Abadi Tbk,12403711320,620185566000
FPNI,Lotte Chemical Titan Tbk.,5566414000,617871954000
VOKS,Voksel Electric Tbk.,831120519,615029184060
HOTL,Saraswati Griya Lestari Tbk.,3550000000,607050000000
OMRE,Indonesia Prima Property Tbk,1745000000,593300000000
BKDP,Bukit Darmo Property Tbk,7315022252,585201780160
BBRM,Pelayaran Nasional Bina Buana Raya,3767075078,576362486934
AMAG,Asuransi Multi Artha Guna Tbk.,2901278252,574453093896
KBLI,KMI Wire & Cable Tbk.,4007235107,569027385194
MLIA,Mulia Industrindo Tbk,1323000000,562275000000
LPLI,Star Pacific Tbk,1170432803,561807745440
INTA,Intraco Penta Tbk.,2160029220,561607597200
LTLS,Lautan Luas Tbk.,780000000,561600000000
GREN,Evergreen Invesco Tbk.,4694111791,558599303129
BSWD,Bank Of India Indonesia Tbk.,859320000,558558000000
BACA,Bank Capital Indonesia Tbk.,6333441949,557342891512
AKPI,Argha Karya Prima Industry Tbk.,680000000,550800000000
RELI,Reliance Securities Tbk,900000000,540000000000
JTPE,Jasuindo Tiga Perkasa Tbk.,1769680000,539752400000
INPP,Indonesian Paradise Property Tbk.,2518803600,528948756000
SMRU,SMR Utama Tbk.,1500000000,525000000000
CSAP,Catur Sentosa Adiprana Tbk.,2895037800,521106804000
PTIS,Indo Straits Tbk.,550165300,517155382000
LPPS,Lippo Securities Tbk.,2588250000,502120500000
GSMF,Equity Development Investment Tbk.,5226336198,501728275008
LPGI,Lippo General Insurance Tbk.,150000000,491250000000
SMDR,Samudera Indonesia  Tbk.,163756000,474892400000
INAF,Indofarma Tbk.,3099267500,474187927500
ITMA,Sumber Energi Andalan Tbk.,34000000,472600000000
WOMF,Wahana Ottomitra Multiartha Tbk.,2000000000,470000000000
SIPD,Sierad Produce Tbk.,9391108493,469555424650
PANR,Panorama Sentrawisata Tbk.,1200000000,468000000000
PNSE,Pudjiadi & Sons Tbk.,797813496,462731827680
LAPD,Leyand International Tbk.,3966350139,448197565707
MYTX,Apac Citra Centertex Tbk,1466666577,447333305985
BUDI,Budi Starch & Sweetener Tbk.,4098997362,446790712458
YPAS,Yanaprima Hastapersada Tbk,668000089,440880058740
KBRI,Kertas Basuki Rachmat Indonesia Tbk.,8687995734,434399786700
APOL,Arpeni Pratama Ocean Line Tbk.,8670479000,433523950000
JECC,Jembo Cable Company Tbk.,151200000,430920000000
BPFI,Batavia Prosperindo Finance Tbk.,1000000000,420000000000
TRIM,Trimegah Securities Tbk.,7109300000,419448700000
SKBM,Sekar Bumi Tbk.,865736394,415553469120
NIKL,Pelat Timah Nusantara Tbk.,2523350000,413829400000
NELY,Pelayaran Nelly Dwi Putri Tbk.,2350000000,411250000000
ARGO,Argo Pantes Tbk,335557450,402668940000
TRIS,Trisula International Tbk.,1002598000,401039200000
ESTI,Ever Shine Tex Tbk.,2015208720,382889656800
SHID,Hotel Sahid Jaya International Tbk.,1119326168,374974266280
EMDE,Megapolitan Developments Tbk.,3350000000,371850000000
SDMU,Sidomulyo Selaras Tbk.,1125875000,371538750000
IATA,Indonesia Air Transport Tbk.,4557364708,369146541348
POOL,Pool Advista Indonesia Tbk.,219275004,368382006720
ALDO,Alkindo Naratama Tbk.,550000000,363000000000
HDFA,HD Finance Tbk.,1540000000,361900000000
BNBA,Bank Bumi Arta Tbk.,2286900000,359043300000
ETWA,Eterindo Wahanatama Tbk,968297000,353428405000
CEKA,Wilmar Cahaya Indonesia Tbk.,297500000,345100000000
MBTO,Martina Berto Tbk.,1070000000,326350000000
TIFA,Tifa Finance Tbk.,1079700000,323910000000
SKYB,Skybee Tbk.,585000000,321750000000
BRNA,Berlina Tbk.,690000000,313950000000
SPMA,Suparma Tbk.,1492046658,313329798180
SRSN,Indo Acidatama Tbk,6020000000,301000000000
SQBI,Taisho Pharmaceutical Indonesia Tbk.,972000,295488000000
NAGA,Bank Mitraniaga Tbk.,1612710000,290287800000
IGAR,Champion Pacific Indonesia Tbk.,972204500,286800327500
ARTI,Ratu Prabu Energi Tbk,1568000000,283808000000
KRAH,Grand Kartech Tbk.,971190000,281645100000
IKBI,Sumi Indo Kabel Tbk.,306000000,281520000000
OKAS,Ancora Indonesia Resources Tbk.,1765927777,280782516543
ABBA,Mahaka Media Tbk.,2755125000,275512500000
BIPP,Bhuwanatala Indah Permai Tbk.,3032239205,272901528450
EKAD,Ekadharma International Tbk.,698775000,272522250000
KOIN,Kokoh Inti Arebama Tbk,980843732,269732026300
ICON,Island Concepts Indonesia Tbk.,726500000,261540000000
MICE,Multi Indocitra Tbk.,600000000,246000000000
APII,Arita Prima Indonesia Tbk.,1075000000,241875000000
STAR,Star  Petrochem Tbk.,4800000000,240000000000
TMAS,Pelayaran Tempuran Emas Tbk.,1141030000,239616300000
NIPS,Nipress Tbk.,720000000,234000000000
SULI,SLJ Global Tbk.,3111401022,230243675628
MIRA,Mitra International Resources Tbk.,3961452039,229764218262
LMPI,Langgeng Makmur Industri Tbk.,1008517669,216831298835
PSDN,Prasidha Aneka Niaga Tbk,1440000000,216000000000
ASRM,Asuransi Ramayana Tbk.,214559422,205977045120
LAMI,Lamicitra Nusantara Tbk.,1148418000,203269986000
JPRS,Jaya Pari Steel Tbk,750000000,202500000000
WEHA,Panorama Transportasi Tbk,856540540,201287026900
POLY,Asia Pacific Fibers Tbk,2495753334,199660266720
MRAT,Mustika Ratu Tbk.,428000000,199020000000
PEGE,Panca Global Securities Tbk.,708354264,194797422600
SQMI,Renuka Coalindo Tbk.,301200000,192768000000
MITI,Mitra Investindo Tbk.,2566456000,192484200000
ALMI,Alumindo Light Metal Industry Tbk.,308000000,184800000000
KBLM,Kabelindo Murni Tbk.,1120000000,176960000000
CLPI,Colorpak Indonesia Tbk.,306338500,174612945000
TRUS,Trust Finance Indonesia Tbk,400000000,174000000000
MTSM,Metro Realty Tbk.,232848000,160665120000
PUDP,Pudjiadi Prestige Tbk.,329560000,158188800000
BMSR,Bintang Mitra Semestaraya Tbk,1159200024,157651203264
DPNS,Duta Pertiwi Nusantara Tbk.,331129952,155631077440
GEMA,Gema Grahasarana Tbk.,320000000,150400000000
RIGS,Rig Tenders Indonesia Tbk.,609130000,149236850000
RUIS,Radiant Utama Interinsco Tbk.,770000000,147840000000
TBMS,Tembaga Mulia Semanan Tbk.,18367000,146936000000
PTSN,Sat Nusapersada Tbk,1771448000,145258736000
BAYU,Bayu Buana Tbk,353220780,141288312000
KDSI,Kedawung Setia Industrial Tbk.,405000000,139725000000
MFMI,Multifiling Mitra Indonesia Tbk.,757581000,136364580000
TRIL,Triwira Insanlestari Tbk.,1200000000,135600000000
PRAS,Prima Alloy Steel Universal Tbk.,701043478,129693043430
ASDM,Asuransi Dayin Mitra Tbk.,192000000,126720000000
AIMS,Akbar Indo Makmur Stimec Tbk,110000000,125400000000
SKLT,Sekar Laut Tbk.,690740500,124333290000
OCAP,Onix Capital Tbk.,273200000,122940000000
ASJT,Asuransi Jasa Tania Tbk.,300000000,120000000000
MAMI,Mas Murni Indonesia Tbk,2307239903,115361995150
TMPO,Tempo Intimedia Tbk.,725000000,114550000000
ASIA,Asia Natural Resources Tbk,2275009490,113750474500
ITTG,Leo Investments Tbk.,1379000000,113078000000
RICY,Ricky Putra Globalindo Tbk,641717510,111017129230
IKAI,Intikeramik Alamasri Industri Tbk.,791383786,110793730040
GOLD,Golden Retailindo Tbk.,286000000,110110000000
KARW,ICTSI Jasa Prima Tbk.,587152700,108623249500
LPIN,Multi Prima Sejahtera Tbk,21250000,106250000000
HADE,HD Capital Tbk,2120000000,106000000000
SCPI,Merck Sharp Dohme Pharma Tbk.,3600000,104400000000
TIRA,Tira Austenite Tbk,58800000,99960000000
BTON,Betonjaya Manunggal Tbk.,180000000,99000000000
APLI,Asiaplast Industries Tbk.,1500000000,97500000000
SQBB,Taisho Pharmaceutical Indonesia Tbk.,9268000,97314000000
PDES,Destinasi Tirta Nusantara Tbk,715000000,97240000000
MYRXP,Saham Seri B Hanson International Tbk.,1120995000,96405570000
INAI,Indal Aluminium Industry Tbk.,158400000,95040000000
DSFI,Dharma Samudera Fishing Industries,1857135500,94713910500
SSTM,Sunson Textile Manufacture Tbk,1170909181,92501825299
VRNA,Verena Multi Finance Tbk.,1002000352,92184032384
ARTA,Arthavest Tbk,446674175,91568205875
