Kode,Nama,Saham Beredar,Market Cap
BEST,Bekasi Fajar Industrial Estate Tbk.,9361707250,6365960930000
FASW,Fajar Surya Wisesa Tbk.,2477888787,6318616406850
BKSL,Sentul City Tbk.,31396905010,5934015046890
PLIN,Plaza Indonesia Realty Tbk.,3550000000,5751000000000
IBST,Inti Bangun Sejahtera Tbk.,1028313400,5655723700000
DUTI,Duta Pertiwi Tbk,1850000000,5642500000000
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,14768508132,5612033090160
BWPT,BW Plantation Tbk.,4051709352,5591358905760
FAST,Fast Food Indonesia Tbk.,460416595,5524999140000
MEDC,Medco Energi International Tbk,3332451450,5431895863500
KPIG,MNC Land Tbk.,3544211291,5316316936500
TURI,Tunas Ridean Tbk.,5580000000,5189400000000
BSSR,Baramulti Suksessarana Tbk.,2616500000,5180670000000
SSIA,Surya Semesta Internusa Tbk.,4705249440,5081669395200
BBKP,Bank Bukopin Tbk.,7890640683,4892197223460
IIKP,Inti Agri Resources Tbk,3360000000,4838400000000
TRIO,Trikomsel Oke Tbk.,4761500000,4761500000000
EPMT,Enseval Putera Megatrading Tbk.,2708640000,4740120000000
SGRO,Sampoerna Agro Tbk.,1890000000,4725000000000
RODA,Royal Oak Development Asia Tbk.,13475736081,4716507628350
BNBR,Bakrie & Brothers Tbk,93721717528,4686085876400
ARII,Atlas Resources Tbk.,3000000000,4530000000000
CTRS,Ciputra Surya Tbk.,1978864834,4452445876500
NIRO,Nirvana Development Tbk.,18000000000,4410000000000
JKON,Jaya Konstruksi Manggala Pratama Tbk.,2935533575,4403300362500
WSKT,Waskita Karya (Persero) Tbk.,9632236000,4334506200000
RMBA,Bentoel Internasional Investama Tbk.,7240005000,4199202900000
MASA,Multistrada Arah Sarana Tbk.,9182946945,4132326125250
KAEF,Kimia Farma Tbk.,5554000000,4109960000000
MTLA,Metropolitan Land Tbk.,7579333000,4092839820000
DLTA,Delta Djakarta Tbk,16013181,4083361155000
MAIN,Malindo Feedmill Tbk.,1695000000,4025625000000
PTPP,PP (Persero) Tbk.,4842436500,4019222295000
KIJA,Kawasan Industri Jababeka Tbk.,19816894728,3963378945600
ULTJ,Ultra Jaya Milk Industry & Trading Compa,2888382000,3841548060000
MDLN,Modernland Realty Ltd. Tbk,6266533661,3822585533210
PNLF,Panin Financial Tbk.,28036107055,3784874452425
PSAB,J Resources Asia Pasifik Tbk.,756000000,3780000000000
INKP,Indah Kiat Pulp & Paper Tbk.,5470982941,3720268399880
MKPI,Metropolitan Kentjana Tbk.,948194000,3697956600000
CTRP,Ciputra Property Tbk.,6150000000,3690000000000
SUPR,Solusi Tunas Pratama Tbk.,735000000,3675000000000
SMSM,Selamat Sempurna Tbk.,1439668860,3635163871500
AMFG,Asahimas Flat Glass Tbk.,434000000,3602200000000
CTBN,Citra Tubindo Tbk.,800000000,3520000000000
GAMA,Gading Development Tbk.,10005000000,3501750000000
DILD,Intiland Development Tbk.,10365854185,3472561151975
MERK,Merck Tbk.,22400000,3404800000000
MSKY,MNC Sky Vision Tbk.,1412776000,3390662400000
CMNP,Citra Marga Nusaphala Persada Tbk.,2000000000,3360000000000
ENRG,Energi Mega Persada Tbk.,40584112673,3327897239186
TOTO,Surya Toto Indonesia Tbk.,495360000,3294144000000
SMMT,Golden Eagle Energy Tbk.,900000000,3262500000000
ADHI,Adhi Karya (Persero) Tbk.,1801320000,3170323200000
MDRN,Modern Internasional Tbk.,4158816363,3160700435880
AISA,Tiga Pilar Sejahtera Food Tbk.,2926000000,3160080000000
ESSA,Surya Esa Perkasa Tbk.,1000000000,3100000000000
BFIN,BFI Finance  Indonesia Tbk.,1520678562,3079374088050
TOTL,Total Bangun Persada Tbk.,3410000000,3069000000000
ARNA,Arwana Citramulia Tbk.,1835357744,3009986700160
TFCO,Tifico Fiber Indonesia Tbk.,4823076400,2990307368000
BRPT,Barito Pacific Tbk.,6979892784,2931554969280
TELE,Tiphone Mobile Indonesia Tbk.,5366082900,2897684766000
SCBD,Danayasa Arthatama Tbk.,3322092000,2757336360000
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,1335702240,2644690435200
BAEK,Bank Ekonomi Raharja Tbk.,2643300000,2643300000000
TMPI,AGIS Tbk,5502083747,2613489779825
KIAS,Keramika Indonesia Assosiasi Tbk.,14929100000,2612592500000
TOBA,Toba Bara Sejahtra Tbk.,2012491000,2555863570000
META,Nusantara Infrastructure Tbk.,13694289959,2519749352456
KKGI,Resource Alam Indonesia Tbk.,1000000000,2475000000000
SRAJ,Sejahteraraya Anugrahjaya Tbk.,5535250000,2435510000000
BKSW,Bank QNB Kesawan Tbk.,3526169643,2433057053670
TBLA,Tunas Baru Lampung Tbk.,4942098939,2421628480110
BISI,BISI International Tbk.,3000000000,2370000000000
ELTY,Bakrieland Development Tbk.,43521913019,2350183303026
DKFT,Central Omega Resources Tbk.,5612355730,2329127627950
PALM,Provident Agro Tbk.,4927986000,2316153420000
PANS,Panin Sekuritas Tbk.,720000000,2304000000000
BSIM,Bank Sinarmas Tbk.,10148836238,2283488153550
MIDI,Midi Utama Indonesia Tbk.,2882353000,2277058870000
BLTA,Berlian Laju Tanker Tbk,11550831470,2263962968120
LPCK,Lippo Cikarang Tbk,696000000,2244600000000
DART,Duta Anggada Realty Tbk,3141390962,2230387583020
TCID,Mandom Indonesia Tbk.,201066667,2211733337000
BCAP,Bhakti Capital Indonesia Tbk.,1344877250,2192149917500
CPRO,Central Proteinaprima Tbk,40470734746,2144948941538
PNIN,Panin Insurance Tbk.,4068323920,2115528438400
INRU,Toba Pulp Lestari Tbk.,1373539044,1922954661600
DVLA,Darya-Varia Laboratoria Tbk.,1120000000,1892800000000
TAXI,Express Transindo Utama Tbk.,2145600000,1866672000000
ASGR,Astra Graphia Tbk.,1348780500,1820853675000
GWSA,Greenwood Sejahtera Tbk.,7800760000,1794174800000
JSPT,Jakarta Setiabudi Internasional Tbk.,2318736000,1739052000000
WINS,Wintermar Offshore Marine Tbk.,3609823948,1732715495040
MBSS,Mitrabahtera Segara Sejati Tbk.,1750026639,1732526372610
MYRX,Hanson International Tbk.,5847945180,1666664376300
JIHD,Jakarta International Hotels & Developme,2329040482,1630328337400
TGKA,Tigaraksa Satria Tbk.,918492750,1607362312500
WIIM,Wismilak Inti Makmur Tbk.,2099873760,1595904057600
MLPL,Multipolar Tbk.,7727543468,1584146410940
BUVA,Bukit Uluwatu Villa Tbk.,3096031500,1548015750000
SDRA,Bank Himpunan Saudara 1906 Tbk.,2293873000,1536894910000
BTEL,Bakrie Telecom Tbk.,30584590655,1529229532750
CFIN,Clipan Finance Indonesia Tbk.,3774796768,1528792691040
CNKO,Exploitasi Energi Indonesia Tbk.,4246550572,1528758205920
CASS,Cardig Aero Services Tbk.,2086950000,1523473500000
FREN,Smartfren Telecom Tbk.,17795870091,1494853087644
HDTX,Panasia Indo Resources Tbk.,1532571000,1455942450000
ASSA,Adi Sarana Armada Tbk.,3397500000,1443937500000
PBRX,Pan Brothers Tbk.,3065112092,1440602683240
JAWA,Jaya Agra Wattie Tbk.,3774685500,1434380490000
ADMG,Polychem Indonesia Tbk,3889179559,1419550539035
PADI,Minna Padi Investama Tbk.,1300165000,1404178200000
BCIC,Bank Mutiara Tbk,28066675536,1403333776800
SAIP,Surabaya Agung Industri Pulp & Kertas Tb,5509574061,1377393515250
STTP,Siantar Top Tbk.,1310000000,1375500000000
KOBX,Kobexindo Tractors Tbk.,2272500000,1363500000000
BRAM,Indo Kordsa Tbk.,450000000,1350000000000
BSWD,Bank Of India Indonesia Tbk.,859320000,1340539200000
PTRO,Petrosea Tbk.,1008605000,1331358600000
HITS,Humpuss Intermoda Transportasi Tbk.,4661183654,1328437341390
INDS,Indospring Tbk.,315000000,1323000000000
CKRA,Citra Kebun Raya Agri Tbk.,5056800833,1314768216580
GLOB,Global Teleshop Tbk.,1111112000,1300001040000
BEKS,Bank Pundi Indonesia Tbk.,10647565981,1277707917720
UNSP,Bakrie Sumatra Plantations Tbk.,13720470842,1276003788306
ELSA,Elnusa Tbk.,7298500000,1262640500000
RANC,Supra Boga Lestari Tbk.,1564487500,1251590000000
DOID,Delta Dunia Makmur Tbk.,8168494232,1249779617496
MYOH,Samindo Resources Tbk.,1470875000,1235535000000
GZCO,Gozco Plantations Tbk.,6000000000,1200000000000
PJAA,Pembangunan Jaya Ancol Tbk.,1599999996,1183999997040
BBLD,Buana Finance Tbk.,1645796054,1168515198340
ABDA,Asuransi Bina Dana Arta Tbk.,620806680,1136076224400
ADES,Akasha Wira International Tbk.,589896800,1132601856000
MTFN,Capitalinc Investment Tbk.,4008094345,1102225944875
DEWA,Darma Henwa Tbk,21853733792,1092686689600
BTEK,Bumi Teknokultura Unggul Tbk,1102977500,1091947725000
PLAS,Polaris Investama Tbk,1184200000,1089464000000
CITA,Cita Mineral Investindo Tbk.,3370734900,1061781493500
FISH,FKS Multi Agro Tbk.,480000000,1056000000000
KBLV,First Media Tbk.,1741896978,1045138186800
R-ABFII,Asian Bond Fund – Indonesia Bond Index F,49819616,1039735385920
INAF,Indofarma Tbk,3099267500,1022758275000
INTA,Intraco Penta Tbk.,2160029220,972013149000
TRST,Trias Sentosa Tbk.,2808000000,968760000000
KARK,Dayaindo Resources International Tbk.,19324488028,966224401400
INPC,Bank Artha Graha Internasional Tbk.,8489325464,942315126504
RDTX,Roda Vivatex Tbk,268800000,940800000000
BULL,Buana Listya Tama Tbk.,17650000000,935450000000
GSMF,Equity Development Investment Tbk.,5226336198,930287843244
INDR,Indo-Rama Synthetics Tbk.,654351707,929179423940
BAJA,Saranacentral Bajatama Tbk.,1800000000,918000000000
BABP,Bank ICB Bumiputera Tbk.,5431217756,912444583008
GDST,Gunawan Dianjaya Steel Tbk.,8200000000,885600000000
KREN,Kresna Graha Sekurindo Tbk.,3169370290,871576829750
VOKS,Voksel Electric Tbk.,831120519,856054134570
INPP,Indonesian Paradise Property Tbk.,2481803600,843813224000
SCCO,Supreme Cable Manufacturing & Commerce T,205583400,832612770000
IATA,Indonesia Air Transport Tbk,4188754327,816807093765
DGIK,Nusa Konstruksi Enjiniring Tbk.,5541165000,797927760000
MFIN,Mandala Multifinance Tbk.,1325000000,795000000000
TRUB,Truba Alam Manunggal Engineering Tbk.,15799456267,789972813350
BATA,Sepatu Bata Tbk.,13000000,780000000000
UNIC,Unggul Indah Cahaya Tbk,383331363,766662726000
SMDM,Suryamas Dutamakmur Tbk,4006783831,765295711721
BVIC,Bank Victoria International Tbk.,6538988915,765061703055
SONA,Sona Topas Tourism Industry Tbk.,331200000,761760000000
MCOR,Bank Windu Kentjana International Tbk.,4240010121,754721801538
SOBI,Sorini Agro Asia Corporindo Tbk.,925211250,749421112500
KBLI,KMI Wire & Cable Tbk.,4007235107,749352965009
COWL,Cowell Development Tbk.,4871214021,696583605003
CENT,Centrin Online Tbk.,575112500,695886125000
LAPD,Leyand International Tbk.,3966350139,694111274325
IPOL,Indopoly Swakarsa Industry Tbk.,6440516680,682694768080
FMII,Fortune Mate Indonesia Tbk,2721000000,666645000000
CSAP,Catur Sentosa Adiprana Tbk.,2895037800,665858694000
MREI,Maskapai Reasuransi Indonesia Tbk.,388343761,664067831310
AMAG,Asuransi Multi Artha Guna Tbk.,2873290550,660856826500
SMDR,Samudera Indonesia  Tbk.,163756000,659117900000
JTPE,Jasuindo Tiga Perkasa Tbk.,1769680000,654781600000
BKDP,Bukit Darmo Property Tbk,7315022252,643721958176
FPNI,Titan Kimia Nusantara Tbk,5566414000,640137610000
DAVO,Davomas Abadi Tbk,12403711320,620185566000
APIC,Pacific Strategic Financial Tbk.,2940498750,585159251250
SMRU,SMR Utama Tbk.,1500000000,585000000000
OMRE,Indonesia Prima Property Tbk,1745000000,584575000000
LTLS,Lautan Luas Tbk.,780000000,577200000000
RAJA,Rukun Raharja Tbk.,1019270625,570791550000
NIKL,Pelat Timah Nusantara Tbk.,2523350000,555137000000
MYTX,Apac Citra Centertex Tbk,1466666577,549999966375
AKPI,Argha Karya Prima Industry Tbk.,680000000,544000000000
PTSP,Pioneerindo Gourmet International Tbk.,220808000,540979600000
LION,Lion Metal Works Tbk.,52016000,540966400000
BACA,Bank Capital Indonesia Tbk.,4500489917,540058790040
BBNP,Bank Nusantara Parahyangan Tbk.,412348026,536052433800
AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,3583913524,526835288028
GDYR,Goodyear Indonesia Tbk.,41000000,504300000000
ALTO,Tri Banyan Tirta Tbk.,1550000000,488250000000
MIRA,Mitra International Resources Tbk.,3961452039,487258600797
BRNA,Berlina Tbk.,690000000,483000000000
POLY,Asia Pacific Fibers Tbk,2495753334,481680393462
SIPD,Sierad Produce Tbk.,9391108493,469555424650
EMDE,Megapolitan Developments Tbk.,3350000000,469000000000
IKBI,Sumi Indo Kabel Tbk.,306000000,468180000000
NELY,Pelayaran Nelly Dwi Putri Tbk.,2350000000,467650000000
BUDI,Budi Acid Jaya Tbk.,4098997362,467285699268
PTIS,Indo Straits Tbk.,550165300,462138852000
RELI,Reliance Securities Tbk,900000000,459000000000
YPAS,Yanaprima Hastapersada Tbk,668000089,447560059630
CLPI,Colorpak Indonesia Tbk.,306338500,447254210000
TRIM,Trimegah Securities Tbk,3655000000,442255000000
KBRI,Kertas Basuki Rachmat Indonesia Tbk.,8687995242,434399762100
APOL,Arpeni Pratama Ocean Line Tbk.,8670479000,433523950000
SPMA,Suparma Tbk.,1492046658,432693530820
LPPS,Lippo Securities Tbk.,2588250000,432237750000
GPRA,Perdana Gapuraprima Tbk.,4276655336,427665533600
TMAS,Pelayaran Tempuran Emas Tbk,1141030000,422181100000
HDFA,HD Finance Tbk.,1540000000,415800000000
ARTI,Ratu Prabu Energi Tbk,1568000000,407680000000
MBTO,Martina Berto Tbk.,1070000000,406600000000
SHID,Hotel Sahid Jaya International Tbk.,1119326168,402957420480
PAFI,Panasia Filament Inti Tbk,1611067000,402766750000
PNSE,Pudjiadi & Sons Tbk.,778354630,396960861300
IGAR,Champion Pacific Indonesia Tbk.,1050000000,393750000000
KARW,ICTSI Jasa Prima Tbk.,587152700,393392309000
CEKA,Cahaya Kalbar Tbk,297500000,386750000000
BNBA,Bank Bumi Arta Tbk.,2286900000,377338500000
WOMF,Wahana Ottomitra Multiartha Tbk.,2000000000,370000000000
MTDL,Metrodata Electronics Tbk.,2246000000,368344000000
BCIP,Bumi Citra Permai Tbk.,1429915525,357478881250
OKAS,Ancora Indonesia Resources Tbk.,1765927777,353185555400
POOL,Pool Advista Indonesia Tbk.,204770000,344013600000
TRIS,Trisula International Tbk.,1000000000,340000000000
ARGO,Argo Pantes Tbk,335557450,335557450000
SKBM,Sekar Bumi Tbk.,851391894,332042838660
ESTI,Ever Shine Tex Tbk.,2015208720,322433395200
LPLI,Star Pacific Tbk,1170432803,321869020825
MLIA,Mulia Industrindo Tbk,1323000000,310905000000
SRSN,Indo Acidatama Tbk,6020000000,301000000000
ETWA,Eterindo Wahanatama Tbk,968297000,300172070000
LPGI,Lippo General Insurance Tbk.,150000000,298500000000
GREN,Evergreen Invesco Tbk.,4694111500,295729024500
PSDN,Prasidha Aneka Niaga Tbk,1440000000,295200000000
KOIN,Kokoh Inti Arebama Tbk,980843732,294253119600
ICON,Island Concepts Indonesia Tbk.,726500000,290600000000
SKYB,Skybee Tbk.,585000000,289575000000
JECC,Jembo Cable Company Tbk.,151200000,287280000000
RIGS,Rig Tenders Indonesia Tbk.,609130000,277154150000
SDMU,Sidomulyo Selaras Tbk.,900700000,270210000000
SULI,Sumalindo Lestari Jaya Tbk,2472044622,266980819176
TIFA,Tifa Finance Tbk.,1079700000,259128000000
ALDO,Alkindo Naratama Tbk.,550000000,258500000000
LMPI,Langgeng Makmur Industri Tbk.,1008517669,257172005595
JPRS,Jaya Pari Steel Tbk,750000000,247500000000
LAMI,Lamicitra Nusantara Tbk,1148418000,246909870000
EKAD,Ekadharma International Tbk.,698775000,244571250000
SQMI,Renuka Coalindo Tbk.,301200000,240960000000
STAR,Star  Petrochem Tbk.,4800000000,240000000000
LCGP,Laguna Cipta Griya Tbk,1407500000,239275000000
PANR,Panorama Sentrawisata Tbk.,1200000000,236400000000
SQBI,Taisho Pharmaceutical Indonesia Tbk.,972,231336000000
MICE,Multi Indocitra Tbk.,600000000,228000000000
ABBA,Mahaka Media Tbk.,2755125000,220410000000
BMSR,Bintang Mitra Semestaraya Tbk,1159200000,220248000000
MITI,Mitra Investindo Tbk,2566456000,213015848000
ASRM,Asuransi Ramayana Tbk.,214559422,210268233560
MRAT,Mustika Ratu Tbk.,428000000,209720000000
TRUS,Trust Finance Indonesia Tbk,400000000,204000000000
KDSI,Kedawung Setia Industrial Tbk.,405000000,200475000000
ALMI,Alumindo Light Metal Industry Tbk.,308000000,200200000000
BIPP,Bhuwanatala Indah Permai Tbk.,1902040084,192106048484
BPFI,Batavia Prosperindo Finance Tbk.,1000000000,180000000000
INCF,Amstelco Indonesia Tbk.,56566667,178185001050
PTSN,Sat Nusapersada Tbk,1771448000,177144800000
MTSM,Metro Realty Tbk.,232848000,162993600000
LPIN,Multi Prima Sejahtera Tbk,21250000,162562500000
PEGE,Panca Global Securities Tbk.,708354264,159379709400
SSTM,Sunson Textile Manufacture Tbk,1170909181,156901830254
PUDP,Pudjiadi Prestige Tbk.,308000000,154000000000
KBLM,Kabelindo Murni Tbk.,1120000000,151200000000
RUIS,Radiant Utama Interinsco Tbk.,770000000,150150000000
PRAS,Prima Alloy Steel Universal Tbk.,588000000,149940000000
PICO,Pelangi Indah Canindo Tbk,568375000,147777500000
MFMI,Multifiling Mitra Indonesia Tbk.,757581000,143940390000
ASDM,Asuransi Dayin MitraTbk.,192000000,142080000000
ARTA,Arthavest Tbk,446674175,140702365125
ASJT,Asuransi Jasa Tania Tbk.,300000000,138000000000
PKPK,Perdana Karya Perkasa Tbk,600000000,135000000000
APLI,Asiaplast Industries Tbk.,1500000000,129000000000
DPNS,Duta Pertiwi Nusantara Tbk.,331129952,127485031520
GEMA,Gema Grahasarana Tbk.,320000000,126400000000
BTON,Betonjaya Manunggal Tbk.,180000000,126000000000
SKLT,Sekar Laut Tbk.,690740500,124333290000
TBMS,Tembaga Mulia Semanan Tbk.,18367000,123977250000
BAYU,Bayu Buana Tbk,353220780,123627273000
ITTG,Leo Investments Tbk.,1379000000,121352000000
ATPK,ATPK Resources Tbk.,914324669,117947882301
MAMI,Mas Murni Indonesia Tbk,2307239903,115361995150
PDES,Destinasi Tirta Nusantara Tbk,715000000,114400000000
ASIA,Asia Natural Resources Tbk,2275009490,113750474500
GOLD,Golden Retailindo Tbk.,286000000,112970000000
SCPI,Schering Plough Indonesia Tbk,3600000,112500000000
IKAI,Intikeramik Alamasri Industri Tbk.,791383786,112376497612
RICY,Ricky Putra Globalindo Tbk,641717510,111658846740
HOME,Hotel Mandarine Regency Tbk.,1213361388,111629247696
TMPO,Tempo Intimedia Tbk.,725000000,108750000000
HADE,HD Capital Tbk,2120000000,106000000000
TRIL,Triwira Insanlestari Tbk.,1200000000,104400000000
TIRA,Tira Austenite Tbk,58800000,102312000000
VRNA,Verena Multi Finance Tbk.,1002000352,102204035904
DSFI,Dharma Samudera Fishing Industries Tbk.,1857135500,102142452500
XIIT,Reksa Dana Premier ETF IDX30,271000000,100812000000
LMSH,Lionmesh Prima Tbk.,9600000,100800000000
SQBB,Taisho Pharmaceutical Indonesia Tbk.,9268000,97314000000
AHAP,Asuransi Harta Aman Pratama Tbk.,500000000,95000000000
PYFA,Pyridam Farma Tbk,535080000,94709160000
BAPA,Bekasi Asri Pemula Tbk.,661784520,91988048280
OCAP,Onix Capital Tbk.,273200000,88790000000
ASBI,Asuransi Bintang Tbk,174193236,85354685640
NIPS,Nipress Tbk,20000000,82000000000
CMPP,Centris Multipersada Pratama Tbk.,54000000,81000000000
BIMA,Primarindo Asia Infrastructure Tbk.,86000000,77400000000
ZBRA,Zebra Nusantara Tbk,655666202,75401613230
WEHA,Panorama Transportasi Tbk,428270000,72805900000
SIAP,Sekawan Intipratama Tbk,600000000,72000000000
CTTH,Citatah Tbk.,1230839821,71388709618
R-LQ45X,Premier ETF LQ-45 (R-LQ45X),96600000,71387400000
INAI,Indal Aluminium Industry Tbk,158400000,71280000000
TIRT,Tirta Mahakam Resources Tbk,1011774750,70824232500
DEFI,Danasupra Erapacific Tbk,67600000,67600000000
WICO,Wicaksana Overseas International Tbk.,1268950977,67254401781
GMTD,Gowa Makassar Tourism Development Tbk.,101538000,67015080000
SDPC,Millennium Pharmacon International Tbk.,728000000,66976000000
FORU,Fortune Indonesia Tbk,465224000,60944344000
PSKT,Pusako Tarinka Tbk.,82000000,57400000000
MYRXP,Saham Seri B Hanson International Tbk.,1120995000,56049750000
ALKA,Alakasa Industrindo Tbk,101533011,55843156050
PGLI,Pembangunan Graha Lestari Indah Tbk.,488000000,53680000000
AKSI,Majapahit Securities Tbk.,720000000,51840000000
ITMA,Sumber Energi Andalan Tbk.,34000000,51000000000
GMCW,Grahamas Citrawisata Tbk.,58839958,50602363880
INTD,Inter Delta Tbk,118365600,49713552000
ERTX,Eratex Djaja Tbk.,146312474,47551554050
RBMS,Ristia Bintang Mahkotasejati Tbk.,326722500,46721317500
DNET,Dyviacom Intrabumi Tbk,184000000,46000000000
INDX,Tanah Laut Tbk,312795420,45668131320
INCI,Intanwijaya Internasional Tbk,181035556,44353711220
